date,sku,category,seller_tier,base_price,demand
2023-01-01,SKU_0,Lifestyle,Standard,1860,43
2023-01-02,SKU_0,Lifestyle,Standard,1860,31
2023-01-03,SKU_0,Lifestyle,Standard,1860,40
2023-01-04,SKU_0,Lifestyle,Standard,1860,45
2023-01-05,SKU_0,Lifestyle,Standard,1860,32
2023-01-06,SKU_0,Lifestyle,Standard,1860,35
2023-01-07,SKU_0,Lifestyle,Standard,1860,37
2023-01-08,SKU_0,Lifestyle,Standard,1860,40
2023-01-09,SKU_0,Lifestyle,Standard,1860,34
2023-01-10,SKU_0,Lifestyle,Standard,1860,38
2023-01-11,SKU_0,Lifestyle,Standard,1860,32
2023-01-12,SKU_0,Lifestyle,Standard,1860,40
2023-01-13,SKU_0,Lifestyle,Standard,1860,40
2023-01-14,SKU_0,Lifestyle,Standard,1860,35
2023-01-15,SKU_0,Lifestyle,Standard,1860,42
2023-01-16,SKU_0,Lifestyle,Standard,1860,30
2023-01-17,SKU_0,Lifestyle,Standard,1860,34
2023-01-18,SKU_0,Lifestyle,Standard,1860,35
2023-01-19,SKU_0,Lifestyle,Standard,1860,39
2023-01-20,SKU_0,Lifestyle,Standard,1860,40
2023-01-21,SKU_0,Lifestyle,Standard,1860,28
2023-01-22,SKU_0,Lifestyle,Standard,1860,24
2023-01-23,SKU_0,Lifestyle,Standard,1860,36
2023-01-24,SKU_0,Lifestyle,Standard,1860,45
2023-01-25,SKU_0,Lifestyle,Standard,1860,34
2023-01-26,SKU_0,Lifestyle,Standard,1860,31
2023-01-27,SKU_0,Lifestyle,Standard,1860,44
2023-01-28,SKU_0,Lifestyle,Standard,1860,42
2023-01-29,SKU_0,Lifestyle,Standard,1860,44
2023-01-30,SKU_0,Lifestyle,Standard,1860,36
2023-01-31,SKU_0,Lifestyle,Standard,1860,46
2023-02-01,SKU_0,Lifestyle,Standard,1860,35
2023-02-02,SKU_0,Lifestyle,Standard,1860,35
2023-02-03,SKU_0,Lifestyle,Standard,1860,43
2023-02-04,SKU_0,Lifestyle,Standard,1860,47
2023-02-05,SKU_0,Lifestyle,Standard,1860,30
2023-02-06,SKU_0,Lifestyle,Standard,1860,43
2023-02-07,SKU_0,Lifestyle,Standard,1860,44
2023-02-08,SKU_0,Lifestyle,Standard,1860,39
2023-02-09,SKU_0,Lifestyle,Standard,1860,35
2023-02-10,SKU_0,Lifestyle,Standard,1860,48
2023-02-11,SKU_0,Lifestyle,Standard,1860,37
2023-02-12,SKU_0,Lifestyle,Standard,1860,33
2023-02-13,SKU_0,Lifestyle,Standard,1860,34
2023-02-14,SKU_0,Lifestyle,Standard,1860,50
2023-02-15,SKU_0,Lifestyle,Standard,1860,41
2023-02-16,SKU_0,Lifestyle,Standard,1860,45
2023-02-17,SKU_0,Lifestyle,Standard,1860,48
2023-02-18,SKU_0,Lifestyle,Standard,1860,35
2023-02-19,SKU_0,Lifestyle,Standard,1860,33
2023-02-20,SKU_0,Lifestyle,Standard,1860,37
2023-02-21,SKU_0,Lifestyle,Standard,1860,30
2023-02-22,SKU_0,Lifestyle,Standard,1860,51
2023-02-23,SKU_0,Lifestyle,Standard,1860,39
2023-02-24,SKU_0,Lifestyle,Standard,1860,36
2023-02-25,SKU_0,Lifestyle,Standard,1860,55
2023-02-26,SKU_0,Lifestyle,Standard,1860,38
2023-02-27,SKU_0,Lifestyle,Standard,1860,34
2023-02-28,SKU_0,Lifestyle,Standard,1860,40
2023-03-01,SKU_0,Lifestyle,Standard,1860,25
2023-03-02,SKU_0,Lifestyle,Standard,1860,48
2023-03-03,SKU_0,Lifestyle,Standard,1860,31
2023-03-04,SKU_0,Lifestyle,Standard,1860,42
2023-03-05,SKU_0,Lifestyle,Standard,1860,33
2023-03-06,SKU_0,Lifestyle,Standard,1860,36
2023-03-07,SKU_0,Lifestyle,Standard,1860,41
2023-03-08,SKU_0,Lifestyle,Standard,1860,35
2023-03-09,SKU_0,Lifestyle,Standard,1860,42
2023-03-10,SKU_0,Lifestyle,Standard,1860,39
2023-03-11,SKU_0,Lifestyle,Standard,1860,41
2023-03-12,SKU_0,Lifestyle,Standard,1860,42
2023-03-13,SKU_0,Lifestyle,Standard,1860,51
2023-03-14,SKU_0,Lifestyle,Standard,1860,35
2023-03-15,SKU_0,Lifestyle,Standard,1860,49
2023-03-16,SKU_0,Lifestyle,Standard,1860,34
2023-03-17,SKU_0,Lifestyle,Standard,1860,45
2023-03-18,SKU_0,Lifestyle,Standard,1860,39
2023-03-19,SKU_0,Lifestyle,Standard,1860,29
2023-03-20,SKU_0,Lifestyle,Standard,1860,48
2023-03-21,SKU_0,Lifestyle,Standard,1860,35
2023-03-22,SKU_0,Lifestyle,Standard,1860,47
2023-03-23,SKU_0,Lifestyle,Standard,1860,41
2023-03-24,SKU_0,Lifestyle,Standard,1860,40
2023-03-25,SKU_0,Lifestyle,Standard,1860,29
2023-03-26,SKU_0,Lifestyle,Standard,1860,39
2023-03-27,SKU_0,Lifestyle,Standard,1860,41
2023-03-28,SKU_0,Lifestyle,Standard,1860,42
2023-03-29,SKU_0,Lifestyle,Standard,1860,35
2023-03-30,SKU_0,Lifestyle,Standard,1860,41
2023-03-31,SKU_0,Lifestyle,Standard,1860,41
2023-04-01,SKU_0,Lifestyle,Standard,1860,35
2023-04-02,SKU_0,Lifestyle,Standard,1860,41
2023-04-03,SKU_0,Lifestyle,Standard,1860,56
2023-04-04,SKU_0,Lifestyle,Standard,1860,53
2023-04-05,SKU_0,Lifestyle,Standard,1860,48
2023-04-06,SKU_0,Lifestyle,Standard,1860,39
2023-04-07,SKU_0,Lifestyle,Standard,1860,42
2023-04-08,SKU_0,Lifestyle,Standard,1860,49
2023-04-09,SKU_0,Lifestyle,Standard,1860,57
