sku_id,category,base_price,cost,base_margin_pct,seller_tier,is_luxury,initial_stock
SKU00001,Apparel,410.86,245.2,0.403,Top,False,119
SKU00002,Beauty,1290.62,961.86,0.255,Top,False,433
SKU00003,Electronics,1380.45,885.24,0.359,Small,False,255
SKU00004,Beauty,688.95,487.39,0.293,Mid,True,207
SKU00005,Apparel,3230.12,1970.06,0.39,Small,False,150
SKU00006,Home & Living,834.75,629.48,0.246,Mid,False,293
SKU00007,Home & Living,618.47,467.11,0.245,Mid,False,474
SKU00008,Lifestyle,791.87,633.46,0.2,Mid,False,100
SKU00009,Electronics,726.91,513.21,0.294,Small,False,329
SKU00010,Beauty,2395.5,1922.83,0.197,Mid,False,289
SKU00011,Lifestyle,1816.09,1282.61,0.294,Small,False,232
SKU00012,Apparel,230.09,145.28,0.369,Small,False,271
SKU00013,Lifestyle,466.54,279.73,0.4,Top,False,28
SKU00014,Lifestyle,432.45,263.63,0.39,Top,False,158
SKU00015,Beauty,2105.32,1540.65,0.268,Small,False,47
SKU00016,Home & Living,1719.81,1267.48,0.263,Mid,False,67
SKU00017,Apparel,2637.25,1918.31,0.273,Mid,False,246
SKU00018,Beauty,2682.63,2049.46,0.236,Small,False,274
SKU00019,Electronics,1773.08,1082.49,0.389,Small,False,260
SKU00020,Electronics,923.76,649.01,0.297,Small,False,426
SKU00021,Lifestyle,321.46,267.73,0.167,Small,False,262
SKU00022,Beauty,1164.47,965.24,0.171,Small,False,153
SKU00023,Apparel,717.62,584.85,0.185,Mid,False,492
SKU00024,Electronics,653.22,380.84,0.417,Mid,False,465
SKU00025,Beauty,339.76,203.65,0.401,Small,False,244
SKU00026,Beauty,442.53,288.21,0.349,Small,False,115
SKU00027,Apparel,588.49,368.5,0.374,Mid,False,406
SKU00028,Electronics,1778.85,1130.37,0.365,Top,False,132
SKU00029,Home & Living,702.29,458.96,0.346,Small,False,145
SKU00030,Beauty,934.88,651.46,0.303,Small,False,343
SKU00031,Beauty,347.32,274.71,0.209,Mid,False,489
SKU00032,Apparel,585.91,338.12,0.423,Small,False,345
SKU00033,Lifestyle,716.65,441.51,0.384,Small,False,166
SKU00034,Electronics,3971.52,2298.93,0.421,Small,False,443
SKU00035,Apparel,534.4,442.17,0.173,Small,False,271
SKU00036,Beauty,772.87,652.81,0.155,Small,False,404
SKU00037,Beauty,315.99,206.9,0.345,Small,False,171
SKU00038,Apparel,2592.39,2116.25,0.184,Small,False,439
SKU00039,Home & Living,1264.22,697.24,0.448,Mid,False,357
SKU00040,Apparel,564.69,386.55,0.315,Small,False,87
SKU00041,Electronics,5053.21,3764.08,0.255,Small,False,420
SKU00042,Electronics,1037.28,739.33,0.287,Small,False,489
SKU00043,Electronics,4039.36,2986.47,0.261,Small,False,305
SKU00044,Lifestyle,825.57,619.74,0.249,Small,False,336
SKU00045,Apparel,3267.02,1839.6,0.437,Small,False,65
SKU00046,Home & Living,1373.58,908.0,0.339,Top,False,299
SKU00047,Electronics,10894.48,9196.02,0.156,Top,False,272
SKU00048,Apparel,3446.05,2775.25,0.195,Mid,False,300
SKU00049,Apparel,399.25,250.03,0.374,Mid,False,123
SKU00050,Lifestyle,3039.47,2312.26,0.239,Mid,False,496
SKU00051,Electronics,578.1,424.01,0.267,Top,False,410
SKU00052,Apparel,664.72,524.79,0.211,Small,False,419
SKU00053,Beauty,286.95,215.67,0.248,Mid,False,209
SKU00054,Electronics,9908.82,7206.19,0.273,Top,False,199
SKU00055,Beauty,1327.82,860.42,0.352,Small,False,127
SKU00056,Lifestyle,222.18,127.89,0.424,Top,False,391
SKU00057,Apparel,542.04,319.71,0.41,Small,False,166
SKU00058,Lifestyle,1401.93,884.97,0.369,Mid,False,458
SKU00059,Electronics,8315.99,4718.98,0.433,Small,False,258
SKU00060,Electronics,1163.25,831.45,0.285,Small,False,256
SKU00061,Electronics,10923.02,7382.65,0.324,Mid,False,163
SKU00062,Beauty,2284.1,1338.6,0.414,Mid,False,66
SKU00063,Beauty,1426.26,987.33,0.308,Top,False,58
SKU00064,Electronics,3716.77,2562.35,0.311,Small,False,269
SKU00065,Lifestyle,703.26,465.83,0.338,Small,False,461
SKU00066,Apparel,1110.26,790.3,0.288,Small,False,355
SKU00067,Lifestyle,1057.43,879.85,0.168,Small,False,197
SKU00068,Apparel,734.73,432.43,0.411,Small,False,287
SKU00069,Apparel,1252.06,715.37,0.429,Mid,False,109
SKU00070,Electronics,1215.3,763.46,0.372,Mid,False,333
SKU00071,Lifestyle,2053.78,1582.48,0.229,Small,False,268
SKU00072,Apparel,1278.69,865.73,0.323,Small,False,118
SKU00073,Apparel,2779.11,1812.65,0.348,Small,False,388
SKU00074,Lifestyle,622.97,480.92,0.228,Mid,False,305
SKU00075,Home & Living,2841.64,1835.74,0.354,Small,False,196
SKU00076,Beauty,1016.95,851.76,0.162,Small,False,303
SKU00077,Home & Living,1080.69,799.23,0.26,Mid,False,118
SKU00078,Lifestyle,1609.83,1152.82,0.284,Mid,False,72
SKU00079,Lifestyle,571.6,408.61,0.285,Mid,False,234
SKU00080,Apparel,992.97,756.39,0.238,Small,False,461
SKU00081,Lifestyle,707.06,563.21,0.203,Small,False,24
SKU00082,Apparel,1177.11,729.77,0.38,Small,False,361
SKU00083,Home & Living,587.79,338.01,0.425,Small,False,201
SKU00084,Lifestyle,2968.6,1854.24,0.375,Mid,False,145
SKU00085,Apparel,985.3,558.56,0.433,Mid,False,380
SKU00086,Lifestyle,793.8,598.77,0.246,Mid,False,210
SKU00087,Apparel,1047.0,712.9,0.319,Small,False,192
SKU00088,Beauty,509.01,416.04,0.183,Small,False,248
SKU00089,Electronics,1371.1,822.47,0.4,Mid,False,162
SKU00090,Apparel,1189.78,878.38,0.262,Small,False,460
SKU00091,Home & Living,496.36,322.98,0.349,Mid,False,183
SKU00092,Apparel,828.72,543.65,0.344,Small,False,60
SKU00093,Electronics,1346.13,853.35,0.366,Mid,False,480
SKU00094,Lifestyle,961.19,575.55,0.401,Small,False,272
SKU00095,Home & Living,3848.75,3178.12,0.174,Top,False,305
SKU00096,Home & Living,250.51,141.18,0.436,Top,False,308
SKU00097,Lifestyle,1313.23,870.7,0.337,Small,False,236
SKU00098,Home & Living,989.04,793.84,0.197,Small,False,117
SKU00099,Beauty,1191.18,846.1,0.29,Small,False,42
SKU00100,Lifestyle,678.75,565.69,0.167,Small,False,164
SKU00101,Electronics,1182.85,748.06,0.368,Mid,False,468
SKU00102,Lifestyle,536.19,394.33,0.265,Mid,False,91
SKU00103,Beauty,61.88,49.47,0.201,Mid,False,255
SKU00104,Apparel,806.86,655.97,0.187,Mid,False,322
SKU00105,Apparel,1608.0,1272.75,0.208,Small,False,245
SKU00106,Apparel,2638.61,1918.2,0.273,Mid,False,466
SKU00107,Lifestyle,197.23,162.35,0.177,Mid,False,125
SKU00108,Home & Living,4802.05,4009.02,0.165,Mid,False,203
SKU00109,Home & Living,1107.86,724.79,0.346,Mid,False,62
SKU00110,Electronics,1360.81,779.42,0.427,Mid,False,202
SKU00111,Apparel,3630.73,2193.03,0.396,Small,False,371
SKU00112,Apparel,521.86,391.53,0.25,Mid,False,422
SKU00113,Home & Living,359.07,200.91,0.44,Small,False,152
SKU00114,Apparel,353.0,216.0,0.388,Mid,False,320
