sku_id,category,base_price,cost,base_margin_pct,seller_tier,is_luxury,initial_stock,baseline_price,baseline_discount
SKU00001,Apparel,410.86,245.2,0.403,Top,False,119,306.5,0.254
SKU00002,Beauty,1290.62,961.86,0.255,Top,False,433,1202.33,0.068
SKU00003,Electronics,1380.45,885.24,0.359,Small,False,255,1106.55,0.198
SKU00004,Beauty,688.95,487.39,0.293,Mid,True,207,609.24,0.116
SKU00005,Apparel,3230.12,1970.06,0.39,Small,False,150,2462.57,0.238
SKU00006,Home & Living,834.75,629.48,0.246,Mid,False,293,786.85,0.057
SKU00007,Home & Living,618.47,467.11,0.245,Mid,False,474,583.89,0.056
SKU00008,Lifestyle,791.87,633.46,0.2,Mid,False,100,791.83,0.0
SKU00009,Electronics,726.91,513.21,0.294,Small,False,329,641.51,0.117
SKU00010,Beauty,2395.5,1922.83,0.197,Mid,False,289,2403.54,-0.003
SKU00011,Lifestyle,1816.09,1282.61,0.294,Small,False,232,1603.26,0.117
SKU00012,Apparel,230.09,145.28,0.369,Small,False,271,181.6,0.211
SKU00013,Lifestyle,466.54,279.73,0.4,Top,False,28,349.91,0.25
SKU00014,Lifestyle,432.45,263.63,0.39,Top,False,158,329.54,0.238
SKU00015,Beauty,2105.32,1540.65,0.268,Small,False,47,1925.81,0.085
SKU00016,Home & Living,1719.81,1267.48,0.263,Mid,False,67,1584.35,0.079
SKU00017,Apparel,2637.25,1918.31,0.273,Mid,False,246,2397.89,0.091
SKU00018,Beauty,2682.63,2049.46,0.236,Small,False,274,2561.82,0.045
SKU00019,Electronics,1773.08,1082.49,0.389,Small,False,260,1353.11,0.237
SKU00020,Electronics,923.76,649.01,0.297,Small,False,426,811.26,0.122
SKU00021,Lifestyle,321.46,267.73,0.167,Small,False,262,334.66,-0.041
SKU00022,Beauty,1164.47,965.24,0.171,Small,False,153,1206.55,-0.036
SKU00023,Apparel,717.62,584.85,0.185,Mid,False,492,731.06,-0.019
SKU00024,Electronics,653.22,380.84,0.417,Mid,False,465,489.92,0.25
SKU00025,Beauty,339.76,203.65,0.401,Small,False,244,254.56,0.251
SKU00026,Beauty,442.53,288.21,0.349,Small,False,115,360.26,0.186
SKU00027,Apparel,588.49,368.5,0.374,Mid,False,406,460.62,0.217
SKU00028,Electronics,1778.85,1130.37,0.365,Top,False,132,1412.96,0.206
SKU00029,Home & Living,702.29,458.96,0.346,Small,False,145,573.7,0.183
SKU00030,Beauty,934.88,651.46,0.303,Small,False,343,814.33,0.129
SKU00031,Beauty,347.32,274.71,0.209,Mid,False,489,343.39,0.011
SKU00032,Apparel,585.91,338.12,0.423,Small,False,345,422.65,0.279
SKU00033,Lifestyle,716.65,441.51,0.384,Small,False,166,551.89,0.23
SKU00034,Electronics,3971.52,2298.93,0.421,Small,False,443,2978.64,0.25
SKU00035,Apparel,534.4,442.17,0.173,Small,False,271,552.71,-0.034
SKU00036,Beauty,772.87,652.81,0.155,Small,False,404,816.01,-0.056
SKU00037,Beauty,315.99,206.9,0.345,Small,False,171,258.62,0.182
SKU00038,Apparel,2592.39,2116.25,0.184,Small,False,439,2645.31,-0.02
SKU00039,Home & Living,1264.22,697.24,0.448,Mid,False,357,948.16,0.25
SKU00040,Apparel,564.69,386.55,0.315,Small,False,87,483.19,0.144
SKU00041,Electronics,5053.21,3764.08,0.255,Small,False,420,4705.1,0.069
SKU00042,Electronics,1037.28,739.33,0.287,Small,False,489,924.16,0.109
SKU00043,Electronics,4039.36,2986.47,0.261,Small,False,305,3733.09,0.076
SKU00044,Lifestyle,825.57,619.74,0.249,Small,False,336,774.67,0.062
SKU00045,Apparel,3267.02,1839.6,0.437,Small,False,65,2299.5,0.296
SKU00046,Home & Living,1373.58,908.0,0.339,Top,False,299,1135.0,0.174
SKU00047,Electronics,10894.48,9196.02,0.156,Top,False,272,11495.02,-0.055
SKU00048,Apparel,3446.05,2775.25,0.195,Mid,False,300,3469.06,-0.007
SKU00049,Apparel,399.25,250.03,0.374,Mid,False,123,312.54,0.217
SKU00050,Lifestyle,3039.47,2312.26,0.239,Mid,False,496,2890.33,0.049
SKU00051,Electronics,578.1,424.01,0.267,Top,False,410,530.01,0.083
SKU00052,Apparel,664.72,524.79,0.211,Small,False,419,655.99,0.013
SKU00053,Beauty,286.95,215.67,0.248,Mid,False,209,269.59,0.061
SKU00054,Electronics,9908.82,7206.19,0.273,Top,False,199,9007.74,0.091
SKU00055,Beauty,1327.82,860.42,0.352,Small,False,127,1075.52,0.19
SKU00056,Lifestyle,222.18,127.89,0.424,Top,False,391,166.63,0.25
SKU00057,Apparel,542.04,319.71,0.41,Small,False,166,399.64,0.263
SKU00058,Lifestyle,1401.93,884.97,0.369,Mid,False,458,1106.21,0.211
SKU00059,Electronics,8315.99,4718.98,0.433,Small,False,258,6236.99,0.25
SKU00060,Electronics,1163.25,831.45,0.285,Small,False,256,1039.31,0.107
SKU00061,Electronics,10923.02,7382.65,0.324,Mid,False,163,9228.31,0.155
SKU00062,Beauty,2284.1,1338.6,0.414,Mid,False,66,1673.25,0.267
SKU00063,Beauty,1426.26,987.33,0.308,Top,False,58,1234.16,0.135
SKU00064,Electronics,3716.77,2562.35,0.311,Small,False,269,3202.94,0.138
SKU00065,Lifestyle,703.26,465.83,0.338,Small,False,461,582.29,0.172
SKU00066,Apparel,1110.26,790.3,0.288,Small,False,355,987.87,0.11
SKU00067,Lifestyle,1057.43,879.85,0.168,Small,False,197,1099.81,-0.04
SKU00068,Apparel,734.73,432.43,0.411,Small,False,287,540.54,0.264
SKU00069,Apparel,1252.06,715.37,0.429,Mid,False,109,894.21,0.286
SKU00070,Electronics,1215.3,763.46,0.372,Mid,False,333,954.33,0.215
SKU00071,Lifestyle,2053.78,1582.48,0.229,Small,False,268,1978.1,0.037
SKU00072,Apparel,1278.69,865.73,0.323,Small,False,118,1082.16,0.154
SKU00073,Apparel,2779.11,1812.65,0.348,Small,False,388,2265.81,0.185
SKU00074,Lifestyle,622.97,480.92,0.228,Mid,False,305,601.15,0.035
SKU00075,Home & Living,2841.64,1835.74,0.354,Small,False,196,2294.67,0.192
SKU00076,Beauty,1016.95,851.76,0.162,Small,False,303,1064.7,-0.047
SKU00077,Home & Living,1080.69,799.23,0.26,Mid,False,118,999.04,0.076
SKU00078,Lifestyle,1609.83,1152.82,0.284,Mid,False,72,1441.02,0.105
SKU00079,Lifestyle,571.6,408.61,0.285,Mid,False,234,510.76,0.106
SKU00080,Apparel,992.97,756.39,0.238,Small,False,461,945.49,0.048
SKU00081,Lifestyle,707.06,563.21,0.203,Small,False,24,704.01,0.004
SKU00082,Apparel,1177.11,729.77,0.38,Small,False,361,912.21,0.225
SKU00083,Home & Living,587.79,338.01,0.425,Small,False,201,440.84,0.25
SKU00084,Lifestyle,2968.6,1854.24,0.375,Mid,False,145,2317.8,0.219
SKU00085,Apparel,985.3,558.56,0.433,Mid,False,380,698.2,0.291
SKU00086,Lifestyle,793.8,598.77,0.246,Mid,False,210,748.46,0.057
SKU00087,Apparel,1047.0,712.9,0.319,Small,False,192,891.12,0.149
SKU00088,Beauty,509.01,416.04,0.183,Small,False,248,520.05,-0.022
SKU00089,Electronics,1371.1,822.47,0.4,Mid,False,162,1028.32,0.25
SKU00090,Apparel,1189.78,878.38,0.262,Small,False,460,1097.97,0.077
SKU00091,Home & Living,496.36,322.98,0.349,Mid,False,183,403.73,0.187
SKU00092,Apparel,828.72,543.65,0.344,Small,False,60,679.56,0.18
SKU00093,Electronics,1346.13,853.35,0.366,Mid,False,480,1066.69,0.208
SKU00094,Lifestyle,961.19,575.55,0.401,Small,False,272,720.89,0.25
SKU00095,Home & Living,3848.75,3178.12,0.174,Top,False,305,3972.65,-0.032
SKU00096,Home & Living,250.51,141.18,0.436,Top,False,308,187.88,0.25
SKU00097,Lifestyle,1313.23,870.7,0.337,Small,False,236,1088.38,0.171
SKU00098,Home & Living,989.04,793.84,0.197,Small,False,117,992.3,-0.003
SKU00099,Beauty,1191.18,846.1,0.29,Small,False,42,1057.62,0.112
SKU00100,Lifestyle,678.75,565.69,0.167,Small,False,164,707.11,-0.042
SKU00101,Electronics,1182.85,748.06,0.368,Mid,False,468,935.07,0.209
SKU00102,Lifestyle,536.19,394.33,0.265,Mid,False,91,492.91,0.081
SKU00103,Beauty,61.88,49.47,0.201,Mid,False,255,61.84,0.001
SKU00104,Apparel,806.86,655.97,0.187,Mid,False,322,819.96,-0.016
SKU00105,Apparel,1608.0,1272.75,0.208,Small,False,245,1590.94,0.011
SKU00106,Apparel,2638.61,1918.2,0.273,Mid,False,466,2397.75,0.091
SKU00107,Lifestyle,197.23,162.35,0.177,Mid,False,125,202.94,-0.029
SKU00108,Home & Living,4802.05,4009.02,0.165,Mid,False,203,5011.27,-0.044
SKU00109,Home & Living,1107.86,724.79,0.346,Mid,False,62,905.99,0.182
SKU00110,Electronics,1360.81,779.42,0.427,Mid,False,202,1020.61,0.25
SKU00111,Apparel,3630.73,2193.03,0.396,Small,False,371,2741.29,0.245
SKU00112,Apparel,521.86,391.53,0.25,Mid,False,422,489.41,0.062
SKU00113,Home & Living,359.07,200.91,0.44,Small,False,152,269.3,0.25
SKU00114,Apparel,353.0,216.0,0.388,Mid,False,320,270.0,0.235
SKU00115,Electronics,1934.5,1463.13,0.244,Small,False,126,1828.91,0.055
SKU00116,Home & Living,486.71,276.61,0.432,Mid,False,276,365.03,0.25
SKU00117,Beauty,1153.16,819.87,0.289,Small,False,47,1024.84,0.111
SKU00118,Apparel,1028.92,708.68,0.311,Small,True,331,885.85,0.139
SKU00119,Beauty,2000.66,1550.28,0.225,Top,False,313,1937.85,0.031
SKU00120,Apparel,1457.66,907.74,0.377,Mid,False,221,1134.67,0.222
SKU00121,Apparel,286.96,187.35,0.347,Mid,False,252,234.19,0.184
SKU00122,Apparel,1179.81,679.66,0.424,Small,False,283,849.57,0.28
SKU00123,Apparel,200.68,130.69,0.349,Small,False,462,163.36,0.186
SKU00124,Apparel,2348.94,1987.1,0.154,Small,False,169,2483.87,-0.057
SKU00125,Electronics,1695.8,1365.53,0.195,Top,False,369,1706.91,-0.007
SKU00126,Beauty,161.64,132.39,0.181,Top,False,59,165.49,-0.024
SKU00127,Lifestyle,1892.67,1043.98,0.448,Small,False,113,1419.5,0.25
SKU00128,Beauty,1123.18,843.05,0.249,Small,False,411,1053.81,0.062
SKU00129,Apparel,708.48,595.41,0.16,Small,False,39,744.26,-0.051
SKU00130,Electronics,2970.71,1736.23,0.416,Small,False,339,2228.03,0.25
SKU00131,Beauty,1843.01,1190.94,0.354,Small,False,29,1488.67,0.192
SKU00132,Apparel,1008.68,720.88,0.285,Mid,False,103,901.1,0.107
SKU00133,Electronics,4846.28,3531.44,0.271,Mid,False,438,4414.3,0.089
SKU00134,Electronics,3707.87,3073.3,0.171,Small,False,255,3841.62,-0.036
SKU00135,Apparel,665.83,551.26,0.172,Small,True,368,689.07,-0.035
SKU00136,Beauty,370.29,292.0,0.211,Mid,False,232,365.0,0.014
SKU00137,Beauty,1686.61,1387.0,0.178,Mid,False,421,1733.75,-0.028
SKU00138,Home & Living,355.97,242.68,0.318,Mid,False,198,303.35,0.148
SKU00139,Lifestyle,155.5,112.46,0.277,Mid,False,469,140.57,0.096
SKU00140,Apparel,3348.94,2752.63,0.178,Small,False,153,3440.79,-0.027
SKU00141,Electronics,4162.37,2497.5,0.4,Small,False,308,3121.88,0.25
SKU00142,Apparel,2392.38,1957.37,0.182,Small,False,116,2446.71,-0.023
SKU00143,Lifestyle,672.01,410.84,0.389,Small,False,24,513.55,0.236
SKU00144,Home & Living,1363.8,890.05,0.347,Small,False,178,1112.56,0.184
SKU00145,Apparel,6084.59,4263.39,0.299,Small,False,343,5329.24,0.124
SKU00146,Lifestyle,473.83,362.96,0.234,Small,False,262,453.7,0.042
SKU00147,Apparel,1776.2,1417.48,0.202,Small,False,153,1771.85,0.002
SKU00148,Apparel,3504.6,2413.27,0.311,Small,False,160,3016.59,0.139
SKU00149,Beauty,806.49,619.25,0.232,Small,False,343,774.06,0.04
SKU00150,Lifestyle,703.36,391.71,0.443,Small,False,111,527.52,0.25
SKU00151,Apparel,605.36,366.79,0.394,Small,False,457,458.49,0.243
SKU00152,Apparel,672.8,489.38,0.273,Mid,False,156,611.72,0.091
SKU00153,Electronics,2925.32,1709.21,0.416,Mid,False,109,2193.99,0.25
